"","Subgroups","Infragroups","Class","Order","Family","Genus","Species"
"ASV327","Viridiplantae","Streptophyta","Magnoliopsida","Saxifragales","Crassulaceae","Graptopetalum","Graptopetalum_bellum"
"ASV328","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Polygalaceae","Polygala","Polygala_chamaebuxus"
"ASV329","","","","","","",""
"ASV33","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Plantaginaceae","Plantago","Plantago_radicata"
"ASV330","","","","","","",""
"ASV331","","","","","","",""
"ASV332","","","","","","",""
"ASV333","","","","","","",""
"ASV335","","","","","","",""
"ASV336","","","","","","",""
"ASV337","","","","","","",""
"ASV338","","","","","","",""
"ASV339","","","","","","",""
"ASV34","","","","","","",""
"ASV340","","","","","","",""
"ASV341","","","","","","",""
"ASV342","","","","","","",""
"ASV343","","","","","","",""
"ASV344","","","","","","",""
"ASV345","","","","","","",""
"ASV346","","","","","","",""
"ASV347","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Cannabaceae","Humulus","Humulus_lupulus"
"ASV348","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies_concolor"
"ASV349","","","","","","",""
"ASV35","","","","","","",""
"ASV350","","","","","","",""
"ASV351","","","","","","",""
"ASV352","","","","","","",""
"ASV353","","","","","","",""
"ASV355","","","","","","",""
"ASV356","","","","","","",""
"ASV357","","","","","","",""
"ASV358","","","","","","",""
"ASV359","","","","","","",""
"ASV36","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Juncus","Juncus_balticus"
"ASV360","","","","","","",""
"ASV361","","","","","","",""
"ASV362","","","","","","",""
"ASV363","","","","","","",""
"ASV364","","","","","","",""
"ASV365","","","","","","",""
"ASV366","","","","","","",""
"ASV367","","","","","","",""
"ASV368","","","","","","",""
"ASV369","","","","","","",""
"ASV37","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Scorzoneroides","Scorzoneroides_carpetana"
"ASV38","Viridiplantae","Streptophyta","Magnoliopsida","Dipsacales","Adoxaceae","Sambucus","Sambucus_adnata"
"ASV39","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Onagraceae","Chamaenerion","Chamaenerion_angustifolium"
"ASV4","","","","","","",""
"ASV40","","","","","","",""
